index,Country,Target Text,Target Name,index,Theme,Text,generated_sample
10,Sri Lanka,"Restore, maintain and enhance nature's contributions to people using nature-based solutions",Draft NBT 11,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Restore, maintain and enhance nature's contributions to people using nature-based solutions - This encompasses the overarching topic of sustainable coastal management and the restoration of marine ecosystems, which includes the protection and restoration of mangroves, coral reefs, and seagrass."
11,Sri Lanka,Enhance urban planning with green and blue spaces for human well-being and biodiversity,Draft NBT 12,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
12,Sri Lanka,"Enable benefit sharing from genetic resources, related digital sequence information, and traditional knowledge",Draft NBT 13,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
13,Sri Lanka,"Integrate biodiversity consideration into national policies, plans and decision-making",Draft NBT 14,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Integrate biodiversity consideration into national policies, plans and decision-making"
14,Sri Lanka,"Enable businesses to assess, disclose and mitigate risks and negative impacts on biodiversity; while benefitting from and supporting biodiversity",Draft NBT 15,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Enable businesses to assess, disclose and mitigate risks and negative impacts on biodiversity."
15,Sri Lanka,"Promote sustainable consumption to reduce waste through education, policies, and communication",Draft NBT 16,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
16,Sri Lanka,Strengthen biosafety and distribute the benefits of biotechnology,Draft NBT 17,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
17,Sri Lanka,"Minimize impacts from harmful incentives and abiotic extractions on biodiversity, and scale up positive incentives and alternative solutions",Draft NBT 18,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",1 - Minimize impacts from harmful incentives and abiotic extractions on biodiversity
18,Sri Lanka,Mobilize adequate funding from all sources to implement the National Biodiversity Strategies and Action Plans and achieve the National Biodiversity Targets by 2030 ,Draft NBT 19,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
19,Sri Lanka,"Enable capacity-building and technology transfer for biodiversity research, conservation, monitoring and cooperation",Draft NBT 20,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - Enable capacity-building and technology transfer for biodiversity research, conservation, monitoring and cooperation relates to marine ecosystem service management and coastal environment monitoring and risk assessment."
20,Sri Lanka,Manage data and ensure access to accurate knowledge and information to guide biodiversity inclusive decision making and action,Draft NBT 21,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",1 - biodiversity inclusive decision making and action
21,Sri Lanka,Make participation possible for all in decision-making and access to justice and information relating to biodiversity,Draft NBT 22,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
22,Sri Lanka,"Ensure gender equality and a gender-responsive approach for biodiversity conservation, management and sustainable use",Draft NBT 23,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
23,Sri Lanka,"Build capacity for conservation of biodiversity at all its levels, and for sustainable use of bioresources to benefit people",Draft NBT 24,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ","1 - coastal zone risk retention, marine ecosystem service management, sustainable coastal management, marine protected areas, restoring marine ecosystems, mangrove protection, coral reef protection, seagrass protection."
24,Sri Lanka,"Enable the implementation, monitoring, and review of National Biodiversity Strategies and Action Plans activities and achievement of the National Biodiversity Targets by 2030",Draft NBT 25,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",1 - National Biodiversity Strategies and Action Plans activities and achievement of the National Biodiversity Targets by 2030
25,Sri Lanka,"Enhance renewable energy contribution to the national electricity generation mix by increasing Solar Photovoltaics, Wind, Hydro and Sustainable Biomass-based electricity generation (Target: Develop an additional capacity of 3,867MW renewable energy over the Renewable Energy capacity considered in Business as Usual scenario out of which approximately 950MW are on an unconditional basis and 2,917MW on a conditional basis)",NDC 1 - Energy,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
26,Sri Lanka,"Implement Demand Side Management (DSM) measures by promoting energy efficient equipment, technologies and system improvements in a national energy efficiency improvement and conservation (EEI&C) programme",NDC 2 - Energy,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
27,Sri Lanka,Conversion of existing fuel oil-based combined cycle power plants to Natural Gas (NG) and establishment of new NG plants as conditional measures (once the necessary infrastructure is available),NDC 3 - Energy,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
28,Sri Lanka,"Transmission and distribution network efficiency improvements (loss reduction of 0.5% compared with Business as Usual by 2030) as an unconditional measure (Target - approximately 1,848 GWh energy savings)",NDC 4 - Energy,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
29,Sri Lanka,Conduct Research and Development activities to implement pilot-scale projects for Non-Conventional Renewable Energy (Non-Conventional Renewable Energy) sources that have not yet reached commercial maturity and develop other grid supporting infrastructures as conditional measures,NDC 5 - Energy,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
30,Sri Lanka,Transport sector system improved,NDC 1 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
31,Sri Lanka,Promote public passenger transport,NDC 2 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
32,Sri Lanka,Shift freight to efficient modes,NDC 3 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
33,Sri Lanka,Rapid transport for passenger transport,NDC 4 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
34,Sri Lanka,Promote non-motorized transport modes,NDC 5 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
35,Sri Lanka,Introduce taxes and other instruments to promote public transport,NDC 6 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
36,Sri Lanka,Introduce inland water transport modes,NDC 7 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
37,Sri Lanka,Modernizing and upgrading of suburban railway,NDC 8 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
38,Sri Lanka,Promote electric mobility and hybrid vehicles,NDC 9 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
39,Sri Lanka,Improve vehicle fleet efficiency ,NDC 10 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
40,Sri Lanka,Road infrastructure development,NDC 11 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
41,Sri Lanka,Reduce Greenhouse Gas emissions from the marine sector,NDC 12 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",1 - Reduce Greenhouse Gas emissions from the marine sector
42,Sri Lanka,Generic enabling activities,NDC 13 - Transport,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
43,Sri Lanka,"Continue fuel-switching to sustainable biomass energy and improve user efficiency in selected industrial sub-sectors (tea, rubber, apparel, hotel & tourism, rice processing)",NDC 1 - Industry,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
44,Sri Lanka,Enhance the application of Resource Efficient Cleaner Production (RECP) practices in selected industrial sub-sectors,NDC 2 - Industry,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
45,Sri Lanka,Establish eco-industrial parks and villages,NDC 3 - Industry,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
46,Sri Lanka,Introduce Circular Economy concept to selected industrial sub-sectors and selected industrial zones,NDC 4 - Industry,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
47,Sri Lanka,Introduce tri-generation facilities to selected industrial parks,NDC 5 - Industry,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
48,Sri Lanka,Incentivize Greenhouse Gas reduction of clinker production in the cement industry,NDC 6 - Industry,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
49,Sri Lanka,Generic enabling activities,NDC 7 - Industry,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
50,Sri Lanka,Improve Circular Economy practices in all Municipal Solid Waste generation sources,NDC 1 - Waste,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
51,Sri Lanka,Manage biodegradable waste component through biological treatments,NDC 2 - Waste,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
52,Sri Lanka,Introduce energy recovery using non-recyclables and waste which cannot be managed by other means,NDC 3 - Waste,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
53,Sri Lanka,The use of sanitary landfills for the disposal of residual waste will be increased from the current level of 5% to 100% on weight basis,NDC 4 - Waste,0,"Protection, management, and restoration of marine and coastal zones ","This includes coastal zone risk retention (soft and hard structures), marine ecosystem service management, tidal salt marshes, sustainable coastal management, marine production promotion, coastal environment monitoring and risk assessment, disease management of marine resources, mangrove protection, coral reef protection, seagrass protection, marine protected areas, avoiding coastal impacts, restoring marine ecosystems, coastal wetland restoration, seagrass restoration, coral reef restoration, and mangrove restoration. ",0
